# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:42:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/hsxu8ewu.json
# init = 2 (Default)
# random
#   seed = 53637
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/nondens/multireg-20250420204220_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.540605
# Diagonal elements of inverse mass matrix:
# 1.73201e-05, 1.90456e-05, 2.05907e-05, 1.45554e-05
-49524.9,0.856919,0.540605,2,3,0,49527.3,-0.0022413,0.141279,0.125858,0.981554,0.124348,0.126805,-47836
-49526.2,0.93991,0.540605,2,3,0,49526.7,-0.00287385,0.139881,0.125097,0.983194,0.123055,0.126039,-47837.4
-49525.4,1,0.540605,3,7,0,49527.1,-0.00200861,0.140355,0.124693,0.981635,0.123578,0.125632,-47836.6
-49524,0.869769,0.540605,2,7,0,49528.1,-0.000142152,0.148318,0.124786,0.987207,0.131486,0.125726,-47836.9
-49522.1,0.985687,0.540605,2,7,0,49524.6,-0.00292943,0.147667,0.119046,0.981173,0.131577,0.119942,-47836
-49522,0.996769,0.540605,3,7,0,49522.6,-0.00247384,0.148858,0.118467,0.982022,0.132835,0.119359,-47836.2
-49522.5,0.722263,0.540605,2,3,0,49525.9,-0.00253275,0.153061,0.124157,0.979738,0.136285,0.125092,-47833.7
-49522.1,0.884213,0.540605,3,7,0,49524.5,0.00196864,0.145385,0.12218,0.983208,0.128904,0.1231,-47835.8
-49522.2,0.983689,0.540605,3,7,0,49523.2,-0.00308098,0.153076,0.123408,0.980981,0.136396,0.124337,-47834.2
-49522.1,0.860315,0.540605,3,7,0,49524.2,0.000867359,0.149838,0.122828,0.978642,0.13325,0.123753,-47833.7
-49524.4,0.810375,0.540605,2,3,0,49525.5,-0.00650402,0.150504,0.127911,0.98219,0.133259,0.128873,-47834.6
-49527.5,0.657917,0.540605,2,3,0,49530.8,-0.00422733,0.145465,0.131838,0.984585,0.127742,0.132831,-47835.9
-49528.6,0.950707,0.540605,3,7,0,49532.6,0.0036544,0.152993,0.114553,0.977119,0.137451,0.115416,-47837.1
-49524.1,1,0.540605,3,7,0,49528.1,-0.00313532,0.146724,0.129024,0.980017,0.129357,0.129996,-47833.8
-49521.8,0.909621,0.540605,3,7,0,49526.3,0.000176621,0.146401,0.120909,0.980138,0.130078,0.121819,-47835.1
-49521.6,0.933664,0.540605,2,7,0,49522.8,-0.00176828,0.147323,0.120131,0.98311,0.131095,0.121036,-47836.2
-49523.9,0.686958,0.540605,2,3,0,49526,0.000346335,0.151913,0.115751,0.982599,0.136224,0.116622,-47837.2
-49523.7,0.990953,0.540605,3,7,0,49525.6,-0.00410924,0.145708,0.128055,0.982055,0.12847,0.129019,-47834.8
-49522.4,0.962278,0.540605,3,7,0,49525,-0.00409363,0.149536,0.124512,0.979408,0.132733,0.12545,-47834
-49521.4,0.741895,0.540605,2,3,0,49525.5,0.00230875,0.14919,0.122129,0.983145,0.132696,0.123048,-47835.1
-49522.6,0.872875,0.540605,2,3,0,49522.9,0.00384923,0.149454,0.123419,0.979298,0.132792,0.124349,-47833.8
-49522,0.997659,0.540605,3,7,0,49523.4,-0.00453531,0.148932,0.122754,0.983605,0.132359,0.123678,-47835.7
-49523.8,0.807727,0.540605,2,3,0,49524.6,-0.0036273,0.151002,0.125185,0.986192,0.134105,0.126128,-47836.2
-49523.5,0.807734,0.540605,3,7,0,49528.4,-0.000405491,0.144735,0.128126,0.982355,0.127494,0.129091,-47834.7
-49522.9,0.815294,0.540605,3,7,0,49526.8,-8.98339e-05,0.153691,0.118685,0.983196,0.137615,0.119578,-47836.2
-49522.1,0.993103,0.540605,2,7,0,49523.7,0.00181734,0.147613,0.126319,0.980449,0.130588,0.12727,-47833.6
-49521.6,1,0.540605,2,3,0,49522.1,0.000799907,0.148049,0.125977,0.981221,0.131066,0.126926,-47833.8
-49521.1,0.916719,0.540605,2,3,0,49522.7,0.0013388,0.150236,0.12138,0.982141,0.133832,0.122293,-47834.9
